Tâche,Durée [ms],#
create_pixmap,0.015,183
write_png_data,0.065,33
stringify_svg,0.071,150
render_to_svg,0.084,216
render_to_svg_file,0.295,33
svg_to_usvg_tree,0.559,183
usvg_tree_to_pixmap,1.543,183
pixmap_to_hwc_frame,6.994,150
encode_frame,10.100,150
pixmap_to_png_data,18.271,33
render_to_png,20.895,33
setup_encoder,49.890,1
load_fonts,60.010,1
canvas_from_cli,60.230,1
load_midi_notes,65.670,1
sync_audio_with,2278.000,1
render_frames,2289.000,1
render,2352.000,1
run,4696.000,1
_Total_,5160.584,1
